prediction_gender,probability,status/day,status count,favorite count,follow/friend,follower count,gender
m,0.75,74.97292994,141249,0,135,135,female
m,0.75,2.86512866,6458,2996,0.755102041,185,male
m,0.95,2.772865854,7276,2118,1.011456628,618,male
m,0.75,2.039339339,6791,146,4.4375,781,male
f,0.75,1.246034974,3064,7814,1.705426357,660,female
m,0.75,30.47315315,84563,40946,3.652866242,2294,male
m,0.75,1.399228258,4714,248,0.525862069,183,female
f,0.95,3.872050817,8534,19955,0.669316375,421,female
f,0.75,3.461538462,3465,1273,1.111111111,100,male
m,0.95,1.691211401,2848,4478,0.2228739,76,male
m,0.95,52.36950549,152500,1,1.354233085,3823,male
m,0.95,1.903988183,1289,44,0.598214286,67,male
f,0.75,7.72303207,7947,3603,0.770642202,168,female
m,0.75,9.979002625,19010,61400,1.36627907,470,female
f,0.95,0.239937107,763,892,0.409836066,100,female
m,0.75,3.641809291,8937,3032,0.923976608,316,male
m,0.75,9.424164524,10998,11708,0.886559803,719,female
m,0.75,7.293129771,23885,4559,0.344051447,214,female
f,0.75,0.4,658,49,0.517073171,106,male
f,0.95,8.374074074,11305,5,0.910780669,245,female
m,0.75,0.647007042,735,1,0.027272727,6,male
m,0.95,0.037168142,63,274,0.5625,9,male
f,0.75,0.534900808,728,2772,2.222972973,329,female
f,0.75,6.492403932,21795,17754,0.74676525,404,female
m,0.75,0.65171504,741,1,0.037974684,9,male
m,0.75,1.071471292,3583,283,0.483231707,317,female
f,0.75,11.6108739,40789,5188,0.859919571,1283,male
f,0.75,80.84637893,110517,70,25.47777778,2293,female
f,0.75,33.38931955,38765,19814,0.698458975,1677,male
m,0.75,5.16729465,6857,9787,0.724264706,394,female
f,0.95,8.760310187,24853,26231,0.966338583,4909,female
m,0.75,48.497743,161158,341569,3.308943089,2035,male
m,0.75,5.972628421,15929,1591,0.924460432,257,female
m,0.75,1.874683544,2962,1786,1.185819071,485,male
m,0.75,0.125,1,0,0,1,female
m,0.75,3.351468988,3080,4693,1.30625,209,female
f,0.75,2.280566802,5633,251,1.056,132,male
m,0.75,14.47519841,29182,26440,2.562248996,638,female
f,0.95,1.489453125,3813,1246,0.241830065,74,female
f,0.95,0.495297806,474,149,0.266846361,594,female
f,0.95,3.172413793,1012,164,1.274193548,79,female
m,0.75,25.61164359,72148,1102,2.058646617,1369,female
m,0.95,4.459368421,10591,61,1.47133758,231,male
f,0.75,4.259338314,3991,1,27.91666667,335,male
f,0.75,36.45363709,91207,4064,0.594262295,725,female
f,0.95,0.688808007,2271,154,0.888059701,357,female
f,0.95,3.771368167,12487,3682,3.085649887,8214,female
m,0.75,43.09671848,49906,855,0.21842863,1062,male
m,0.95,10.90827947,35441,5537,0.879310345,306,male
m,0.95,6.711653813,15665,17175,1.297581493,1234,male
m,0.95,0,0,0,0,38,male
m,0.75,82.83631922,203446,3802,1.426451613,2211,male
m,0.75,0.245079365,386,27,0.324324324,24,male
f,0.75,22.80629139,41325,6298,1.323529412,810,male
m,0.75,0.256084656,242,591,0.952380952,180,male
m,0.75,25.755,20604,5602,0.9,36,male
m,0.75,730.863876,2357036,0,2.562753036,1266,male
f,0.75,6.661560904,18266,21,0.403780069,235,male
m,0.95,0.028081123,18,26,0.066666667,2,female
m,0.75,1.791830322,2281,6995,3.168,396,female
m,0.95,0.495824635,475,161,0.159986859,487,male
m,0.75,14.26979706,35860,964,0.692518874,1009,male
f,0.75,0,0,0,0.071428571,1,female
f,0.75,0,0,0,0,0,male
f,0.75,0.020833333,1,0,0,0,female
f,0.95,6.233082707,12435,41021,0.800567108,847,female
m,0.75,19.49915469,46135,4268,1.617283951,1048,male
m,0.75,1.566494845,3039,2369,0.146482122,127,male
m,0.75,13.77504174,33005,12701,1.233846154,401,male
f,0.75,6.418949772,11246,273,2.715447154,334,female
m,0.75,128.6940133,232164,3,1.1568,723,female
m,0.75,42.602555,60027,0,2.163265306,106,male
f,0.95,0.4663909,451,162,0.207459207,534,female
m,0.75,36.11048794,64385,36682,2.273870783,3977,female
f,0.75,3.870515464,9386,3202,1.365384615,284,male
f,0.95,0.0078125,2,0,0,0,female
f,0.95,0.019586507,18,0,0.065217391,3,female
f,0.95,13.01530612,15306,7984,8.35,1002,female
f,0.95,3.854897661,10547,11708,1.776515152,469,female
m,0.75,0.391211147,1095,514,0.912749004,6873,male
f,0.95,0.092136855,307,91,0.405857741,97,female
m,0.75,13.80630631,27585,35074,1.189473684,452,female
f,0.75,19.51951952,45500,8473,4.333333333,338,male
f,0.95,13.54164398,24876,1,0.7,7,female
m,0.95,0.293292416,669,666,0.386138614,39,male
f,0.75,2.466911765,3355,5253,0.831168831,128,male
f,0.95,1.78739726,3262,113,0.66875,535,male
m,0.75,29.0984589,67974,26547,5.250481696,2725,male
f,0.75,16.76939811,46250,7501,1.215189873,480,male
m,0.75,28.1196465,41364,73166,1.156834532,1608,female
f,0.75,0.795252226,804,108,0.383697813,386,male
f,0.75,13.92503231,32320,6731,1.544036697,1683,male
m,0.95,0.366511146,707,553,1.125,27,male
m,0.95,2.883729174,8135,1359,1.001748252,1146,male
m,0.75,16.69911504,45288,16318,0.999028812,3086,male
m,0.95,3.926800472,6652,8044,0.36339918,975,male
f,0.95,2.752226988,8342,24,0.172413793,315,female
