@relation stream

@attribute text_prediction numeric
@attribute name_prediction numeric
@attribute status/day numeric
@attribute favorite/day numeric
@attribute gender {male,female}

@data
0.481056,0.99,16.836276,1.619021,male
0.5,0.11,2.261824,2.476043,female
0.157009,0.02,1.200461,0.18894,female
0.189756,0.02,41.858377,32.273748,female
0.031694,0.39,2.031956,3.166797,female
0.087906,0.02,0.988827,0.561305,female
0.037875,0.02,1.808482,1.088235,female
0.637631,0.99,63.760436,0.312144,male
0.069492,0,36.697505,0.401919,female
0.499985,0.02,0.009311,0.003352,female
0.055226,0.5,45.635781,24.42484,male
0.583358,0.5,28.292517,1.70068,male
0.5,1,146.050728,0.000502,male
0.110328,0.5,6.407125,0.27131,female
0.329841,0.99,0.364881,0.024954,male
0.039803,0.03,0.852918,5.142286,female
0.179021,0.5,18.276821,0.362177,female
0.581198,0.5,0.469974,1.481723,female
0.556009,0.98,50.694962,0.065847,male
0.330615,0.99,8.932633,3.446194,male
0.5,0.5,2.261191,3.670578,female
0.061952,0.78,1.295848,0.25917,male
0.512841,0.99,23.703267,0.392808,male
0.174936,0.02,15.107077,5.180615,female
0.5,0.5,0.008395,0,female
0.5,0.97,6.272217,3.98363,male
0.402266,0.99,26.73423,6.758359,male
0.574904,1,4.189936,0.138101,male
0.5,0.95,1.11675,0.277709,male
0.531649,0.5,22.439637,5.501947,male
0.096926,0.5,0.222704,0.010846,female
0.030851,0.02,5.490188,0.277304,female
0.639703,0.98,0.78124,0.974135,male
0.755823,0.99,0.995859,0.587302,male
0.672462,0.97,1.3281,0.274411,male
0.43404,0.11,9.914925,17.673134,female
0.305169,0.12,7.851677,12.284873,female
0.025929,0.36,15.184072,0.429811,female
0.992019,0.82,5.220971,0.094243,male
0.107481,0.01,9.928835,5.949168,female
0.425214,0.99,37.980086,0.195236,male
0.91847,0.93,72.79743,0.072562,male
0.4733,0.99,15.334618,8.16951,male
0.000041,0.31,27.271228,4.449299,male
0.279199,0.5,0.016632,0.006237,female
0.339181,0.99,1.26459,0.815852,male
0.893308,0.98,8.310115,0.083889,male
0.113427,0.99,0.264029,0.307728,male
0.5,0.02,28.220617,12.767564,female
0.5,0.85,6.467101,2.581759,female
0.575559,0.99,1.557016,0.394113,male
0.230951,0.5,3.715423,4.5,female
0.090048,0.5,3.154275,0.33829,female
0.283283,0.18,63.423124,0.056581,female
0.061346,0.12,8.380056,33.865439,female
0.868529,0.94,1.824979,0.089975,male
