@relation stream

@attribute text_prediction numeric
@attribute name_prediction numeric
@attribute gender {male,female}

@data
0.5,0.98,male
0.817644,0.98,male
0.632264,0.5,male
0.666128,0.5,female
0.017141,0.52,male
0.25121,0.98,male
0.137521,0.02,female
0.634988,0.99,male
0.545781,0.15,female
0.612843,0.5,female
0.509441,0.5,female
0.145294,0.5,female
0.361482,0.99,male
0.999601,0.99,male
0.548901,0.5,male
0.699722,0.02,female
0.127803,0.5,female
0.5,0.55,female
0.5,0.02,female
0.07649,0.06,female
0.996389,0.97,male
0.714567,0.98,male
0.170377,0.45,female
0.055813,0.02,female
0.327636,0.99,male
0.27766,0.96,male
0.339888,0.67,male
0.550492,0.15,female
0.009386,0.5,female
0.04098,0.02,female
0.09059,0.54,female
0.657202,0.15,female
0.128157,0.06,female
0.514631,0.5,male
0.029892,0.5,female
0.5,0.93,male
0.395211,0.5,female
0.115627,0.5,female
0.5,0.5,female
0.5,0.02,female
0.100869,0.95,male
0.131664,0.02,female
0.151485,0.5,female
0.184004,0.5,male
0.614775,0.99,male
0.167795,0.09,female
0.144019,0.85,male
0.284249,0.87,male
0.070538,0.02,female
0.024411,0.86,male
0.02978,0.99,male
0.183802,0.97,male
0.013799,0.99,male
0.00152,0.5,male
0.867722,0.99,male
0.174726,0.02,female
0.117387,0.08,female
0.019138,0.98,female
0.086651,0.97,male
0.729077,0.5,male
0.063581,0.5,male
0.960022,0.97,male
0.015532,0.5,female
0.55419,0.27,female
0.198736,0.02,female
0.139794,0.93,female
0.711427,0.5,male
0.616893,0.86,male
0.240198,0.09,male
0.023486,0.38,female
0.5,0.99,male
0.101572,0.5,male
0.021399,0.5,male
0.230814,0.79,male
0.889859,0.99,male
0.001361,0.93,male
0.403636,0.5,male
0.044947,0.26,female
0.293947,0.9,female
0.191872,0.5,female
0.294179,0.5,male
0.392371,0.02,female
0.153508,0.5,female
0.19421,0.5,male
0.5,0.98,male
0.101995,1,male
0.5,0.5,female
0.558986,0.99,male
0.000609,0.75,female
0.161683,0.02,female
0.55052,0,female
0.045548,0.08,male
0.239501,0.99,male
0.5,0.99,male
0.439704,0.5,male
0.433193,0.99,male
0.331257,0.85,female
0.5,0.74,female
0.720323,0.99,male
0.5,0.5,female
0.321765,0.99,male
0.211421,0.5,male
0.996604,0.25,female
0.319718,0.83,male
0.5,0.5,male
0.5,0.27,female
0.525437,0.5,male
0.072605,0.02,female
0.751592,0.99,male
0.47423,0.91,male
0.375601,0.99,male
0.072548,0.01,female
0.155387,0.99,male
0.5,0.63,male
0.621024,0.5,male
0.920508,0.98,male
0.842484,0.98,male
0.5,0.51,female
0.013234,0.04,female
0.5,0.5,male
0.168458,0.99,male
0.390643,0.02,female
0.742708,0.98,male
0.5,0.8,female
0.215673,1,male
0.321522,0.5,male
0.486977,0.02,female
0.106681,0.98,male
0.150049,0.75,male
0.262423,0.5,male
0.5,0.02,female
0.639113,0.99,male
0.056618,0.93,female
0.000151,0.11,female
0.429287,0.99,male
0.053925,0.02,female
0.100402,0.67,female
0.752911,0.85,male
0.021659,0.47,female
0.324339,0.02,female
0.878117,0.5,male
0.05598,0.02,female
0.194633,0.86,female
0.613453,0.5,male
0.33111,0.33,female
0.220151,0.22,male
0.15067,0.09,female
0.5,0.01,female
0.840178,0.5,male
0.715139,0.99,male
0.615491,0.99,male
0.009302,0.02,female
0.059868,0.5,female
0.114509,0.5,male
0.112618,0.73,female
0.009971,0.03,female
0.5,0.02,female
0.697653,0.98,male
0.612733,0.02,female
0.002173,0.63,male
0.001804,0.5,male
0.598373,0.5,male
0.139605,0.5,female
0.062008,0.76,male
0.093815,0.5,female
0.233013,0.03,female
0.149178,0.5,female
0.674736,0.97,male
0.165739,0.93,male
0.010888,0.5,female
0.018151,0.04,female
0.173787,0,female
0.963207,0.98,male
0.5,0.21,female
0.588691,0.99,male
0.937955,0.98,male
0.040649,0.5,female
0.284695,0.99,male
0.106468,0.99,male
0.091992,0.5,male
0.095681,0.03,female
0.284416,1,female
0.105491,1,male
0.929301,0.67,male
0.000968,1,male
0.09217,0.79,female
0.147058,1,male
0.408038,0.83,male
0.314727,0.99,male
0.807275,1,male
0.028015,0.02,female
0.745513,0.99,male
0.747538,0.5,female
0.5,0.5,female
0.157319,0.97,male
0.118012,0.5,female
0.155773,0.78,female
0.274811,0.99,male
0.048491,0.5,female
0.5,0.87,male
0.703992,0.99,male
0.959612,0.92,male
0.503903,0.56,male
0.035476,0.48,female
0.190143,0.99,male
0.13544,0.57,male
0.875872,0.5,female
0.5,0.99,male
0.232031,0.99,male
0.079462,0.73,female
0.066996,0.5,female
0.5,0.99,male
0.120679,0.85,male
0.313244,0.99,male
0.174642,0.87,male
0.678284,0.83,male
0.047678,0.5,female
0.253995,0.02,female
0.126122,0.04,female
0.359048,0.97,male
0.142834,0.01,female
0.827085,0.5,male
0.090357,0.02,female
0.423729,0.67,male
0.007969,0.04,female
0.005536,0.5,male
0.382392,0.92,male
0.778336,0.99,male
0.132654,0.99,male
0.629786,0.93,female
0.288328,0.77,female
0.83553,0.99,male
0.5,0.5,female
0.297175,0.99,male
0.266701,0.94,male
0.861987,0.02,female
0.050988,0.5,male
0.571978,0.96,male
0.244204,0.02,female
0.089366,0.28,female
0.974417,1,male
0.164555,0.02,female
0.152097,0.5,male
0.149093,0.85,male
0.764256,0.97,male
0.080982,0.5,female
0.5,0.02,female
0.369635,0.86,male
0.445055,0.5,female
0.210787,0.78,male
0.066549,0.5,female
0.000017,0.99,male
0.089267,0.5,female
0.056354,0.05,female
0.061537,0.98,male
0.826512,0.07,female
0.060749,0.04,female
0.062607,0.73,female
0.49774,0.62,male
0.056476,0.99,male
0.397846,0.79,female
0.136001,0.8,male
0.5,0.02,female
0.175245,0.02,female
0.5,0.96,male
0.017666,0.05,female
0.061904,0.5,female
0.479156,0.99,male
0.081529,0.05,female
0.091333,0.5,female
0.034216,0.5,male
0.011706,0.99,male
0.683807,0.99,male
0.604693,0.79,male
0.41535,0.93,male
0.078037,0.58,female
0.5,0.5,male
0.006155,0.12,female
0.078922,0.84,female
0.043228,0.11,female
0.4894,0.02,female
0.218694,0.02,female
0.123145,0,female
0.000013,0,female
0.070638,0.81,male
0.251216,0.43,female
0.015032,0.5,female
0.273465,0.8,male
0.045609,0.64,female
0.185834,0.99,male
0.308904,0.16,female
0.5,0.01,female
0.272113,1,male
0.46166,0.01,female
0.036163,0.88,male
0.123489,0.5,female
0.16254,0.75,female
0.405507,0.16,female
0.5,0.25,female
0.906953,0.89,female
0.106695,0.02,female
0.175209,0.92,male
0.458148,0.71,male
0.535436,0.86,male
0.000004,0.99,male
0.011277,0.99,male
0.006694,0.04,female
0.232696,0.02,female
0.649141,1,male
0.5,0.5,female
0.061473,0,female
0.386405,0.91,male
0.058623,0.04,female
0.249792,0.01,female
0.994525,0.99,male
0.493489,0.01,female
0.144054,0.71,male
0.005498,0.5,female
0.5,0.5,male
0.06295,0.5,female
0.147197,0.5,female
0.398383,0.51,female
0.05502,0.97,male
0.457373,0.99,male
0.690232,0.99,male
0.250896,0.5,female
0.869272,0.99,male
0.5,0.5,male
0.266906,0.99,male
0.783678,0.99,male
0.355091,0.5,female
0.20147,0.82,female
0.212862,0.82,male
0.647761,0.99,male
0.484404,0.01,female
0.047225,0.56,female
0.084546,0.02,female
0.102501,0.67,male
0.054026,0.02,female
0.223417,1,male
0.5,0.99,male
0.5,0.5,female
0.384595,0.02,female
0.073821,0.78,female
0.335579,0.85,female
0.277622,0.03,female
0.5,0.02,female
0.006388,0.76,female
0.239543,0.99,male
0.149572,0.5,male
0.17503,0.5,female
0.719209,0.06,female
0.990339,0.92,male
0.397029,0.99,male
0.077524,0.5,male
0.20569,0.99,male
0.477125,1,male
0.5,1,male
0.339977,0.87,male
0.068977,0.5,female
0.898046,0.99,male
0.355316,0.01,female
0.44171,0.97,male
0.093586,0.04,female
0.811382,0.01,female
0.052147,0.5,female
0.285321,0.96,male
0.484333,0.99,male
0.312121,1,male
0.13306,0.64,female
0.064201,0.96,male
0.14362,0.8,male
0.04456,0.5,female
0.187518,0.01,female
0.011867,0.5,male
0.154506,0.5,female
0.255548,0.5,female
0.882299,0.99,male
0.445299,0.67,female
0.107977,0.5,female
0.5,0.89,male
0.100447,0.5,female
0.059185,0.09,female
0.074232,0.94,male
0.5,1,male
0.466506,0.99,male
0.4114,0.5,male
0.5,0,female
0.096109,0.99,male
0.22738,0.93,male
0.117135,0.02,female
0.082131,0.01,female
0.466338,0.4,female
0.842246,0.99,male
0.03303,0.02,female
0.5,0.5,male
0.091421,0.25,female
0.5,0.78,female
0.536649,0.99,male
0.276381,0.99,male
0.346187,0.93,male
0.11985,0.04,female
0.091167,0.5,female
0.093794,0.5,female
0.860719,0.5,female
0.5,0.08,female
0.510004,0.88,male
0.1135,0.88,male
0.147412,0.5,female
0.15451,0.96,male
0.222583,0.96,male
0.5,0.5,female
0.305243,0.56,male
0.282603,0.98,male
0.492517,0.88,male
0.023149,0.98,female
0.303439,0.26,female
0.5,0.55,male
0.580741,0.99,male
0.5,0.05,female
0.04299,0.87,male
0.624822,0.99,male
0.283597,0.99,male
0.280126,0.5,male
0.209475,0.25,male
0.338201,0.01,male
0.5,0.89,female
0.276018,0.12,female
0.091725,0.71,male
0.428785,0.94,male
0.5,0.61,male
0.818497,0.99,male
0.076446,0.03,female
0.028619,0.02,female
0.98837,0.5,female
0.847798,0.5,female
0.564494,0.99,male
0.817692,0.98,male
0.586534,0.5,male
0.043111,0.5,female
0.70077,0.97,male
0.074345,1,male
0.343333,0.99,male
0.562168,0.01,female
0.289481,0.03,female
0.086202,0.02,female
0.142093,0.98,male
0.274917,0.5,female
0.165749,0.5,male
0.831169,0.99,male
0.5,0.66,female
0.720045,0.02,female
0.623615,0.35,female
0.629986,0.99,male
0.072771,0.02,female
0.5,1,male
0.805847,0.93,male
0.5,0.55,female
0.382333,0.22,male
0.190945,0.45,female
0.666515,0.96,male
0.5,0.01,female
0.124755,0.99,male
0.33487,0.99,male
0.716766,0.5,male
0.15309,0.99,male
0.10596,0.02,female
0.5,1,male
0.5,0.69,female
0.924424,0.5,female
0.03909,0.01,female
0.241694,0.99,male
0.5,0.61,female
0.972591,0.86,male
0.945413,0.5,female
0.222921,0.5,male
0.379337,0.98,male
0.5,0.5,female
0.199777,0.9,male
0.12539,0.85,female
0.217399,1,male
0.912414,0.5,male
