@relation stream

@attribute status/day numeric
@attribute favorite/day numeric
@attribute gender {male,female}

@data
25.554729,0.390365,female
4.45,0.02563,male
4.2386,0.00106,male
36.393142,1.620415,female
0.687765,0.046638,female
3.765451,1.110944,female
43.042955,0.74055,male
10.936406,1.717972,male
6.701282,7.345299,male
0,0,male
82.751422,1.547522,male
0.244149,0.017078,male
22.794717,3.473308,male
0.255521,0.623554,male
25.727047,6.983871,male
730.129062,0,male
6.647016,0.007642,male
0.027864,0.040248,female
1.783425,5.469116,female
0.492739,0.167012,male
14.251787,0.384432,male
0,0,female
0,0,male
0.018519,0,female
6.215892,20.470765,female
19.457841,1.802277,male
1.565262,1.23741,male
13.741049,5.24771,male
6.392491,0.15529,female
128.267403,0.001657,female
42.602827,0,male
0.463515,0.166495,female
35.98938,20.503074,female
3.861374,1.317153,male
0.007663,0,female
0.019481,0,female
12.951777,6.755499,female
3.851204,4.30124,female
0.390731,0.183244,male
0.091999,0.02727,female
13.80489,17.577345,female
19.490372,3.657253,male
13.497558,0.000543,female
0.292523,0.293397,male
2.458272,3.846999,male
1.78154,0.061715,male
29.020922,11.331768,male
16.691751,2.716715,male
28.073798,49.735951,female
0.79056,0.106195,male
13.899012,2.919639,male
0.365375,0.285788,male
2.89172,0.485846,male
16.666299,6.011038,male
3.936471,4.766471,male
2.74679,0.007903,female
6.21844,0.218976,male
8.542695,2.717078,female
5.185563,0.054477,male
32.092587,0.913464,female
15.978614,2.65911,male
4.524578,0.040707,male
2.546607,5.729867,female
5.162917,5.950349,male
3.087258,0.108434,male
2.210334,3.393528,female
0.181818,12.545455,female
77.861227,0.006254,male
0.119621,0.182444,female
0.878614,0.37259,female
30.156869,0.876333,male
52.199343,1.663696,male
0.928039,0.318807,male
63.154439,0.148744,male
9.482675,1.875988,male
3.844171,0.765294,male
46.348824,8.519956,female
0.999145,0.586826,male
13.177831,11.498804,female
0.315618,0.728308,male
3.318039,0.052539,male
3.110928,0.526991,female
12.030973,5.364843,female
0.585984,0.455526,female
0.065744,2.936851,male
11.810789,1.164251,female
1.67916,2.043296,female
4.024678,7.991026,female
1.59753,0.335339,male
56.253241,0.145748,female
25.939278,0.035475,male
4.841723,1.147651,female
26.73423,6.758359,male
0.22844,0.175229,male
2.376079,0.532676,male
0.335298,0.034178,male
7.297595,0.236853,male
0,0.002063,female
10.349227,1.704897,male
2.772063,0.403898,female
0.250559,0.001918,male
14.572468,1.077926,female
1.386945,0.217577,female
1.956993,0.002549,male
15.867068,0.005744,male
1.888158,0.232057,female
0.027203,0.003264,male
4.0645,4.574594,female
4.735561,3.731742,female
1.686027,2.506849,female
10.913482,0,male
1.306767,0.215046,female
1.815256,3.855379,female
5.267857,0.141949,female
0.92368,0.785891,male
84.606007,0.010601,male
14.280374,2.84486,female
4.868775,0.902372,female
18.362346,0.529801,female
3.995313,0.435619,male
6.312201,2.754486,male
0.781818,1.828571,female
1.425222,3.203719,male
84.606007,0.010601,male
37.346926,22.335971,male
0.674669,0.051738,male
5.962247,1.045393,male
4.117699,6.630215,male
0.104027,0.597315,male
0.219819,2.952547,male
0.569738,0.295576,female
6.523485,3.498485,male
1.584633,0.996288,female
21.750738,3.679567,male
0.190667,0.174222,female
3.402632,1.537218,male
31.979456,0.093051,male
0.447045,0.118956,male
3.236928,0.008824,female
9.264313,7.878817,female
0.58046,0.558429,female
14.099941,2.1279,female
24.569626,15.315888,female
1.22528,2.969419,female
23.073074,2.913101,male
17.840716,12.668654,female
4.245327,1.609034,female
0.076825,0.34443,male
16.573077,4.10641,female
3.486056,0.916904,male
0.367638,0.057347,female
6.231721,8.910478,male
7.819958,2.251221,male
179.124,41.481538,male
1.049848,0.611465,male
7.7042,8.459339,female
7.094079,1.278589,male
5.790323,2.747408,male
0.931169,0.00511,female
5.030303,3.851852,male
0.33716,2.323263,male
11.745298,3.816844,male
30.263057,5.210445,male
53.104341,7.271842,female
4.534492,0.870179,female
16.781707,8.842056,male
9.616186,11.41867,male
1.234716,0.147926,male
31.321521,0.016611,male
6.675692,4.377256,female
1.316179,1.303005,male
0.384,0,male
0.004882,0.005967,male
4.925738,1.704985,female
0.77657,0.005433,male
4.925159,5.656051,female
1.817899,0.216861,male
5.791515,0.867475,male
46.092651,18.297425,male
7.198602,2.533306,female
21.310324,0.79952,female
5.208797,0.754637,male
3.771006,1.248585,male
5.960392,9.127807,male
2.800902,2.381668,male
7.143508,0.247836,female
4.115604,0.000476,female
0.001656,0.087748,male
5.340011,1.710596,female
0.190614,0.374855,male
14.667303,12.187589,female
4.903161,0.477471,female
34.055406,1.790799,male
5.431133,1.406333,female
138.556846,0.13446,male
0.337781,0.079233,male
0.259806,0.013383,female
5.792487,17.013715,female
7.325524,0.449753,male
21.348065,1.102581,male
3.318039,0.052539,male
19.269309,6.828144,female
31.928511,0.84693,female
5.753039,0.606846,male
1.851748,0.052681,male
13.059763,4.904197,female
0.562303,0.986955,female
7.184773,2.461933,male
11.49423,0.360127,male
0.351716,0.006944,male
36.520642,34.144495,male
0.002342,0,female
11.176106,1.68086,male
1.70294,2.083032,male
196.80389,0.352242,female
20.984272,2.7793,female
4.070767,0.333193,female
13.891487,2.66386,female
15.642554,0.129237,female
6.690332,0.856495,female
21.702306,52.090147,female
4.962406,0.01826,male
11.54672,10.569085,female
0.060019,0.006776,male
8.327035,7.973837,female
2.014919,0.992102,male
11.010753,10.057634,female
0.809293,0,male
9.623735,0.567704,male
19.099138,0.003233,female
1.748196,7.425822,female
6.920386,0.53076,male
4.972055,2.19381,female
16.603505,0.064449,male
15.356982,2.170796,male
0.57519,0.779822,male
13.835682,1.153683,male
3.772705,5.37948,female
16.948665,1.204517,female
4.483624,5.214983,female
4.998828,1.729191,female
1.188354,0.668943,male
2.621072,0.420702,male
0.000789,0.001577,female
11.872034,7.107027,female
5.941533,2.363762,male
99.618501,3.005441,male
15.742911,13.140231,male
21.840753,0.001142,male
3.139665,1.317638,female
49.614265,38.836245,male
4.393248,0.802311,male
11.019463,0.065784,male
0.040687,0.733273,female
37.099639,0.631905,female
0.343313,0.105788,female
1.795812,1.817706,female
7.522519,0.668057,male
4.943646,0.909945,male
25.082178,33.077228,male
0.33325,0.120638,male
11.894779,3.26943,female
1.87155,1.788747,female
14.840793,7.611902,male
1.108937,0.891716,female
50.501092,0.00437,male
59.931257,41.519871,male
23.61728,0.25184,female
3.635301,1.392066,male
8.317296,0.041195,female
2.285328,0.303969,female
0.280934,0.112058,male
0.152134,0.06679,male
26.898981,15.434635,female
0.008037,0.001148,female
0.656015,0.109962,female
5.045954,6.688312,male
11.583178,9.492336,male
2.185066,0.254734,male
5.164769,2.726055,female
18.83992,10.582791,male
4.662039,1.181779,female
1.482197,2.546287,male
14.980984,3.133526,male
1.744132,0.326612,male
7.44335,4.103,male
35.368815,21.043153,female
3.432535,9.786255,male
1.512195,0.078049,female
